result_type,gamma,value,repeat
00,0.0,-0.0028076171875,0
00,0.0,-0.0185546875,1
00,0.0,0.005615234375,2
00,0.0526,-0.013916015625,0
00,0.0526,-0.0535888671875,1
00,0.0526,-0.0355224609375,2
00,0.1053,0.000244140625,0
00,0.1053,-0.0577392578125,1
00,0.1053,-0.0277099609375,2
00,0.1579,0.0120849609375,0
00,0.1579,-0.067138671875,1
00,0.1579,-0.0830078125,2
00,0.2105,0.020263671875,0
00,0.2105,-0.083740234375,1
00,0.2105,-0.0333251953125,2
00,0.2632,0.03765869140625,0
00,0.2632,-0.0579833984375,1
00,0.2632,-0.0521240234375,2
00,0.3158,0.04644775390625,0
00,0.3158,-0.072998046875,1
00,0.3158,-0.0400390625,2
00,0.3684,0.0518798828125,0
00,0.3684,-0.0120849609375,1
00,0.3684,-0.02099609375,2
00,0.4211,0.03973388671875,0
00,0.4211,-0.0301513671875,1
00,0.4211,-0.07177734375,2
00,0.4737,0.03515625,0
00,0.4737,-0.051513671875,1
00,0.4737,-0.044921875,2
00,0.5263,0.00506591796875,0
00,0.5263,-0.0648193359375,1
00,0.5263,-0.0225830078125,2
00,0.5789,-0.01275634765625,0
00,0.5789,-0.02978515625,1
00,0.5789,-0.0203857421875,2
00,0.6316,-0.00701904296875,0
00,0.6316,-0.0511474609375,1
00,0.6316,-0.00244140625,2
00,0.6842,-0.042724609375,0
00,0.6842,-0.043701171875,1
00,0.6842,-0.01708984375,2
00,0.7368,-0.0345458984375,0
00,0.7368,-0.0360107421875,1
00,0.7368,-0.01611328125,2
00,0.7895,-0.029541015625,0
00,0.7895,-0.037353515625,1
00,0.7895,-0.0003662109375,2
00,0.8421,-0.05133056640625,0
00,0.8421,-0.08251953125,1
00,0.8421,-0.00634765625,2
00,0.8947,-0.04254150390625,0
00,0.8947,-0.060546875,1
00,0.8947,-0.0360107421875,2
00,0.9474,-0.03509521484375,0
00,0.9474,-0.0054931640625,1
00,0.9474,-0.0635986328125,2
00,1.0,-0.03045654296875,0
00,1.0,-0.078125,1
00,1.0,-0.0238037109375,2
01,0.0,-0.01263427734375,0
01,0.0,0.0347900390625,1
01,0.0,0.0438232421875,2
01,0.0526,0.000732421875,0
01,0.0526,0.043701171875,1
01,0.0526,0.026123046875,2
01,0.1053,-0.0118408203125,0
01,0.1053,0.0322265625,1
01,0.1053,0.0435791015625,2
01,0.1579,-0.0103759765625,0
01,0.1579,0.0465087890625,1
01,0.1579,-0.0006103515625,2
01,0.2105,-0.00042724609375,0
01,0.2105,0.013671875,1
01,0.2105,0.0372314453125,2
01,0.2632,-0.0093994140625,0
01,0.2632,0.0640869140625,1
01,0.2632,0.038818359375,2
01,0.3158,-0.00164794921875,0
01,0.3158,0.0230712890625,1
01,0.3158,0.0501708984375,2
01,0.3684,-0.017333984375,0
01,0.3684,0.0313720703125,1
01,0.3684,0.0068359375,2
01,0.4211,0.00494384765625,0
01,0.4211,0.022216796875,1
01,0.4211,-0.020263671875,2
01,0.4737,0.002685546875,0
01,0.4737,0.008544921875,1
01,0.4737,0.0147705078125,2
01,0.5263,0.01812744140625,0
01,0.5263,0.0001220703125,1
01,0.5263,0.03515625,2
01,0.5789,0.0386962890625,0
01,0.5789,0.012451171875,1
01,0.5789,0.0438232421875,2
01,0.6316,0.0172119140625,0
01,0.6316,0.004150390625,1
01,0.6316,0.05224609375,2
01,0.6842,0.03656005859375,0
01,0.6842,0.02197265625,1
01,0.6842,0.050048828125,2
01,0.7368,0.02020263671875,0
01,0.7368,0.02978515625,1
01,0.7368,0.040771484375,2
01,0.7895,0.02081298828125,0
01,0.7895,0.0262451171875,1
01,0.7895,0.058349609375,2
01,0.8421,0.0194091796875,0
01,0.8421,0.010986328125,1
01,0.8421,0.0177001953125,2
01,0.8947,0.029296875,0
01,0.8947,0.00048828125,1
01,0.8947,0.013671875,2
01,0.9474,-0.00177001953125,0
01,0.9474,0.0489501953125,1
01,0.9474,0.0230712890625,2
01,1.0,-0.00030517578125,0
01,1.0,0.0318603515625,1
01,1.0,0.0189208984375,2
10,0.0,0.0009765625,0
10,0.0,-0.05322265625,1
10,0.0,-0.049072265625,2
10,0.0526,-0.0089111328125,0
10,0.0526,-0.0128173828125,1
10,0.0526,-0.01123046875,2
10,0.1053,-0.01092529296875,0
10,0.1053,-0.0234375,1
10,0.1053,-0.0028076171875,2
10,0.1579,-0.02545166015625,0
10,0.1579,0.0118408203125,1
10,0.1579,0.03125,2
10,0.2105,-0.0528564453125,0
10,0.2105,0.005126953125,1
10,0.2105,-0.0142822265625,2
10,0.2632,-0.01910400390625,0
10,0.2632,-0.0233154296875,1
10,0.2632,-0.0064697265625,2
10,0.3158,-0.03973388671875,0
10,0.3158,0.0050048828125,1
10,0.3158,-0.008544921875,2
10,0.3684,-0.0264892578125,0
10,0.3684,-0.035400390625,1
10,0.3684,-0.0072021484375,2
10,0.4211,-0.02520751953125,0
10,0.4211,-0.0162353515625,1
10,0.4211,0.0167236328125,2
10,0.4737,-0.0177001953125,0
10,0.4737,0.009033203125,1
10,0.4737,-0.0159912109375,2
10,0.5263,0.002685546875,0
10,0.5263,0.0045166015625,1
10,0.5263,-0.02978515625,2
10,0.5789,-0.0113525390625,0
10,0.5789,-0.0421142578125,1
10,0.5789,-0.0364990234375,2
10,0.6316,0.020751953125,0
10,0.6316,-0.0341796875,1
10,0.6316,-0.0509033203125,2
10,0.6842,0.02099609375,0
10,0.6842,-0.03564453125,1
10,0.6842,-0.0489501953125,2
10,0.7368,0.03369140625,0
10,0.7368,-0.04296875,1
10,0.7368,-0.04345703125,2
10,0.7895,0.0220947265625,0
10,0.7895,-0.04541015625,1
10,0.7895,-0.0745849609375,2
10,0.8421,0.0211181640625,0
10,0.8421,0.0006103515625,1
10,0.8421,-0.0513916015625,2
10,0.8947,0.004150390625,0
10,0.8947,-0.0068359375,1
10,0.8947,-0.035888671875,2
10,0.9474,0.014404296875,0
10,0.9474,-0.068359375,1
10,0.9474,-0.0184326171875,2
10,1.0,0.00433349609375,0
10,1.0,0.0052490234375,1
10,1.0,-0.0338134765625,2
11,0.0,0.01446533203125,0
11,0.0,0.0369873046875,1
11,0.0,-0.0003662109375,2
11,0.0526,0.0220947265625,0
11,0.0526,0.022705078125,1
11,0.0526,0.0206298828125,2
11,0.1053,0.02252197265625,0
11,0.1053,0.0489501953125,1
11,0.1053,-0.0130615234375,2
11,0.1579,0.02374267578125,0
11,0.1579,0.0087890625,1
11,0.1579,0.0523681640625,2
11,0.2105,0.03302001953125,0
11,0.2105,0.06494140625,1
11,0.2105,0.0103759765625,2
11,0.2632,-0.0091552734375,0
11,0.2632,0.0172119140625,1
11,0.2632,0.019775390625,2
11,0.3158,-0.00506591796875,0
11,0.3158,0.044921875,1
11,0.3158,-0.0015869140625,2
11,0.3684,-0.008056640625,0
11,0.3684,0.01611328125,1
11,0.3684,0.0213623046875,2
11,0.4211,-0.01947021484375,0
11,0.4211,0.024169921875,1
11,0.4211,0.0753173828125,2
11,0.4737,-0.0201416015625,0
11,0.4737,0.033935546875,1
11,0.4737,0.046142578125,2
11,0.5263,-0.02587890625,0
11,0.5263,0.0601806640625,1
11,0.5263,0.0172119140625,2
11,0.5789,-0.01458740234375,0
11,0.5789,0.0594482421875,1
11,0.5789,0.0130615234375,2
11,0.6316,-0.03094482421875,0
11,0.6316,0.0811767578125,1
11,0.6316,0.0010986328125,2
11,0.6842,-0.01483154296875,0
11,0.6842,0.057373046875,1
11,0.6842,0.0159912109375,2
11,0.7368,-0.01934814453125,0
11,0.7368,0.0491943359375,1
11,0.7368,0.018798828125,2
11,0.7895,-0.01336669921875,0
11,0.7895,0.0565185546875,1
11,0.7895,0.0166015625,2
11,0.8421,0.01080322265625,0
11,0.8421,0.0709228515625,1
11,0.8421,0.0400390625,2
11,0.8947,0.00909423828125,0
11,0.8947,0.06689453125,1
11,0.8947,0.0582275390625,2
11,0.9474,0.0224609375,0
11,0.9474,0.02490234375,1
11,0.9474,0.0589599609375,2
11,1.0,0.02642822265625,0
11,1.0,0.041015625,1
11,1.0,0.0386962890625,2
